27229,605
27819,822
17134,393
19006,438
18785,440
26489,732
22363,433
12276,224
20001,438
15954,323
17699,363
25216,630
23345,607
19915,457
22576,557
20099,432
32388,952
16043,326
23828,607
17341,375
25323,675
21398,505
19724,426
18697,441
17804,390
18994,432
22101,530
25030,638
13379,252
21300,521
17494,397
20371,488
22086,420
20460,410
24848,649
20315,470
16209,322
25859,670
25416,670
20178,489
16221,348
19915,456
18756,415
17329,408
17998,408
18834,440
21304,483
20702,499
17965,429
29198,816
22963,567
20196,473
19442,500
14077,302
20412,525
19672,466
25426,681
16791,379
16738,350
20067,484
18216,404
18375,421
19822,473
22101,504
27574,729
23082,590
16945,434
19554,418
18824,416
22079,560
20591,515
19222,459
32409,926
31269,926
21408,525
22424,458
19146,415
16071,338
24985,646
23355,586
18896,425
20001,477
21098,521
24283,644
25173,704
15932,344
18884,443
19847,520
24313,611
22133,549
17576,364
21645,516
19786,479
18208,440
19134,437
22324,529
20794,512
20622,404
18399,466
16460,368
17012,368
21084,534
17057,378
13341,252
15255,304
17158,387
27032,729
20413,544
22762,590
18801,419
18727,457
16618,372
25390,721
15120,339
16484,366
15757,349
23008,585
18688,441
